카테고리,상품내용,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
승용완구,STONETREE스톤트리 트라이크 - 유모차 세발 자전거,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남동구,구월2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
크로스가방,엑스피크빅파우치 자전거 휴대폰파우치,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,우면동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
보조바퀴,SM-901성인용 보조바퀴(20~26인치용),F,2,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,도봉구,창동,
자전거라이트/전조등,몬스터라이트LG화학 18650 배터리 3050mAh,M,2,,,      ,          ,,부산,부산진구,초읍동,
자전거,알톤베네통BKS18/16 어린이자전거 삼천리 아동자전거,F,4,,,      ,          ,,전북,김제시,금구면,
자전거라이트/전조등,몬스터라이트미니 자전거라이트  몬스터라이트 미니,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,경기,용인시 기흥구,서천동,
헬멧,자전거커버방수 덮개 오토바이,F,4,"교직 (교사, 유치원교사, 학원강사)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동대문구,전농1동,
자전거의류/잡화,GIROJAG 반장갑/지로 장갑/땀흡수/통기성/4웨이 신축성/충격흡수패딩/자전거장갑/지로장갑/자전거용품,F,2,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,관악구,신림동,
보호대,무료배송.국산쿨토시.팔토시.냉감토시.쿨마스크.아동,M,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,단독주택,경기,평택시,오성면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
보호대,(가온들)나스카/쿨토시/기능성팔토시/스포츠골프토시,M,3,"교직 (교사, 유치원교사, 학원강사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,구미시,산동면,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
튜브,자전거고급 타이어 튜브/던롭 프레스타 슈레더 튜브/슈발베 켄다 CST튜브/자전거용품 부품,F,3,,,      ,          ,,서울,송파구,문정2동,
자전거타이어,자전거휠라이트 반사 스트로우 바퀴 야간 안전 야광,F,4,,,      ,          ,,광주,서구,풍암동,
보호대,무료배송.국산쿨토시.팔토시.냉감토시.쿨마스크.아동,M,2,,,      ,          ,,서울,양천구,목2동,
MTB,프로메이드풀서스펜션 24인치 MTB자전거 아스톤힐DS,F,3,,,      ,          ,,서울,강남구,논현동,
보호대,2+2이벤트/네파정품/탑쿨/슬레진저 쿨토시 팔토시,M,4,,,      ,          ,,경기,남양주시,금곡동,
자전거짐받이,바이크박스블랙   -  생활용 여성용 접이식 자전거 짐받이 거치용 접이식 짐 바구니,F,2,,,      ,          ,,대구,달서구,신당동,
안장,풀카본안장자전거안장 초경량 카본안장,M,3,,,      ,          ,,서울,강서구,화곡본동,
자전거의류/잡화,극세사기모 방한 넥워머 바라클라바 겨울 목토시 자전거 방한마스크 멀티스카프 털모자,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남구,용현동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
헬멧,2018GIRO 지로 QUARTER 쿼터 어반 자전거 헬멧 BMX,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경남,창원시 성산구,가음동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거액세서리,[고바이크]자전거짐받이특대바구니/플록스천바구니/짐바구니/고정식바구니/장착용바구니/자전거악세사리,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,부산,사하구,괴정2동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
자전거튜브,[흥아]흥아 700C x 23/25C 프레스타 80mm 자전거튜브 로드,F,2,무직,100만원 미만,아니오,          ,아파트/ 주상복합,서울,성동구,금호동1가,
에어펌프(발펌프),자전거펌프/미니펌프/공기주입기/자전거용품,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,문래동4가,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
헬멧,필모리스/F381/F373/자전거헬멧/성인용헬멧/안전용품,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,경북,포항시 남구,연일읍,
전시스탠드,"자전거스텐드거치대/16,18,20,22,24,26스탠드 받침대 보관대 접이식 자전거용품",M,3,,,      ,          ,,부산,영도구,남항동3가,
전시스탠드,"자전거스텐드거치대/16,18,20,22,24,26스탠드 받침대 보관대 접이식 자전거용품",M,3,,,      ,          ,,대구,북구,서변동,
자전거커버,스타시빅C-01 옥스포드 210D 자전거 커버,M,5,,,      ,          ,,경기,화성시,능동,
헬멧/보호장비,가성비좋은 헬멧/빅이글 자전거헬멧/보호대/인라인/자전거용품,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",100~199만원,아니오,          ,아파트/ 주상복합,대구,달서구,두류1동,기타 (승합차/트럭/화물차/기타 차량 등)
자전거,뉴도미니크24/렌즈/갤럽등 초등학생 하이브리드 모음,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
자전거액세서리,자전거유아안장전방유아안장 아동보조안장,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,부산,영도구,동삼2동,
자전거,[삼천리자전거]하로GS20 7단 접이식자전거  어린이/여성 폴딩자전거,M,3,,,      ,          ,,경기,안산시 단원구,와동,
흙받이,자전거흙받이(한세트)삼천리자전거 레스포정품/흙튀김방지 물받이/선택,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,부산진구,전포1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
라이트거치대,페어맨만능 18650충전기 FLIC-210 자전거라이트 2구,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,오피스텔,충북,청주시 상당구,율량동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
신발,뉴발란스CRT300 스니커즈 운동화 (CRT300CA),M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,경북,구미시,사곡동,
자전거액세서리,블랙울프자전거 라이트 용품 18650 배터리 충전기,F,2,"학생 (초중고학생, 대학생, 대학원생)",600~699만원,아니오,          ,아파트/ 주상복합,경기,고양시 덕양구,고양동,"소형SUV/CUV (티볼리, QM3 등)"
자전거액세서리,18650AA AAA 충전지 배터리 충전기 i4 D2 i2 UM20,F,3,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,광주,북구,용봉동,"소형SUV/CUV (티볼리, QM3 등)"
튜브,자전거고급 타이어 튜브/던롭 프레스타 슈레더 튜브/슈발베 켄다 CST튜브/자전거용품 부품,M,2,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,단독주택,서울,종로구,평창동,"프리미엄 (에쿠스, BMW7급 등)"
자전거타이어/부품,삼천리알루미늄 핸드펌프  - 자전거 다용도 튜브 펌프 공기주입기,F,4,"교직 (교사, 유치원교사, 학원강사)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안성시,공도읍,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
에어펌프(발펌프),발펌프/튜브/휴대용/쌍발/자전거/공기주입기/에어펌프/타이어공기/축구공/농구공/바람넣기/외발/강력발펌프,M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,대치2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
외발/삼륜/2인용,[자이덴]지오닉스 나누미 에코 성인용 세발 트라이 삼륜자전거,M,4,,,      ,          ,,충남,아산시,풍기동,
자전거액세서리,▶빔라이트충전식 자전거 후미등┃자전거용품┃레저용품┃자전거악세사리┃자전거라이트┃후미등┃,M,2,,,      ,          ,,경기,용인시 수지구,풍덕천동,
자전거장갑,[킹썰]스포츠/등산/자전거장갑/여름장갑/반장갑/핸드폰터치,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",100~199만원,아니오,          ,아파트/ 주상복합,경기,안산시 상록구,성포동,
자전거액세서리,AVVISO툴캡슐 자전거 거치대 공구함 케이스 툴부스,M,2,,,      ,          ,,서울,금천구,가산동,
에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,경기,광명시,광명7동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
헬멧,2018GIRO 지로 QUARTER 쿼터 어반 자전거 헬멧 BMX,M,2,,,      ,          ,,부산,부산진구,부전동,
자전거타이어/부품,삼천리알루미늄 핸드펌프  - 자전거 다용도 튜브 펌프 공기주입기,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,성북구,정릉2동,
자전거,[에어휠]BEST전동킥보드/스쿠터 인기브랜드 에어휠/스티고/이지휠 택1,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,부산,해운대구,재송동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거,베리벨로보스톤GS 22 18년형 22인치 MTB자전거,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,기장군,철마면,
전시스탠드,[학성스포츠]아동용16/18/20인치 자전거스탠드/보조바퀴떼어내고 두발자전거전환시사용,M,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,단독주택,대전,서구,가장동,"경차 (모닝, 스파크 등)"
헬멧/보호장비,GAIUS어반헬멧 킥보드헬멧 성인 청소년헬멧,M,2,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경북,경주시,노동동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거액세서리,18650AA AAA 충전지 배터리 충전기 i4 D2 i2 UM20,M,4,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,중랑구,망우동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
공용상의,[MCN]윈드베스트 MSV-16 블랙/자전거조끼,M,4,,,      ,          ,,서울,관악구,행운동,
핸들그립,Giant그립/Connect 커넥트 에르고 맥스 락온 (2색상),F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 일산서구,일산3동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
안장,[참좋은바이크]삼천리아동용안장모음/하이킥/프린세스/키즈바이크/디즈니/유아동/어린이/푹신한안장,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,수원시 팔달구,화서동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거,삼천리가족형 HF200 7단 미니벨로 20형 접이식자전거,F,2,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,동작구,노량진1동,
보호대,(가온들)나스카/쿨토시/기능성팔토시/스포츠골프토시,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,화명1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
보호대,나이키/팔토시/쿨토시/자외선차단/스포츠/레저/등산용,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,성동구,성수1가1동,
MTB,베리벨로보스톤GS 18년형 22인치 초등학생 MTB자전거,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,운양동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
후미등,자전거후미등2구 실리콘 후미등 LED비상등 안전등 야간 라이딩 유모차 오토바이 3가지 모드,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,전북,익산시,영등동,"경차 (모닝, 스파크 등)"
자전거라이트/전조등,몬스터라이트LG화학 18650 배터리 3050mAh,F,2,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,중랑구,중화1동,
자전거,[삼천리자전거][삼천리]여성용 클래식 자전거 라니아 22인치,F,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,아파트/ 주상복합,경기,화성시,석우동,
광택,자전거방수보관커버/방수자전거 커버/PEVA원단,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,서울,구로구,구로2동,
전시스탠드,토픽스텐드 DUAL TOUCH BIKE STAND 자전거거치대,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,오피스텔,서울,강동구,길동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
거치대,(추천)말대가리 스마트 거치대/ 휴대폰거치대 스마트폰거치대 거치대 차량용폰거치대 핸폰거치대 헨드폰거,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,도봉구,방학2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
자전거,사은품증정[삼천리자전거]아이비/어린이자전거/아동용,M,2,"판매직 (상점점원, 보험설계사, 노점상)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,울산,울주군,범서읍,
자전거의류/잡화,사은품증정나루 마스크 자전거 자외선차단 등산 골프 바라클라바 버프 겨울 방한 넥워머 복면  오토바이,M,3,,,      ,          ,,서울,은평구,수색동,
기타용품,[펌프킹]가정용 자전거 거치대 HK-001,M,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,아니오,          ,아파트/ 주상복합,서울,중랑구,신내동,
자전거의류/잡화,마스크/귀마개/멀티워머/넥워머/자전거/검정마스크,F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,아파트/ 주상복합,경기,군포시,광정동,
MTB,베리벨로보스톤GS 18년형 22인치 초등학생 MTB자전거,M,4,"관리직 (사장, 간부, 고위공무원)",300~399만원,아니오,          ,단독주택,광주,북구,신안동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
브레이크패드,[FNS]크락스오가닉 디스크브레이크 패드(벌크제품),M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서대문구,남가좌2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거펌프 공 오토바이 바이크 휴대용 쌍발펌프 튜브 스포,F,5,무직,100~199만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,도봉구,쌍문3동,
자전거,[스마트]삼천리/스마트/바이맥스 접이식자전거 미니벨로 4종,M,4,,,      ,          ,,서울,강서구,화곡2동,
자전거튜브,[CST]700x25/32C fv48mm 자전거튜브 프레스타 흥아 켄다,M,2,,,      ,          ,,충남,천안시 동남구,안서동,
신발,뉴발란스585 USA 스니커즈 운동화 (M585GR),F,3,,,      ,          ,,대전,동구,삼성동,
자전거액세서리,[VELO]VL3147전립선안장 - MTB 로드 싸이클 자전거 전립선 벨로 쿠션안장,M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,서울,양천구,신월4동,
자전거액세서리,SCHWALBE슈발베 타이어레버 3개한세트 타이어교체 / 튜블러 시멘트/리무버/이지핏 악세사리,F,5,,,      ,          ,,경기,하남시,선동,
크로스가방,엑스피크빅파우치 자전거 휴대폰파우치,M,5,,,      ,          ,,경북,포항시 남구,연일읍,
장갑,[MTB자전거장갑]라이딩장갑/여름장갑/반장갑,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,마포구,연남동,"대형차 (제너시스, BMW5급 등)"
자전거,알톤어린이용 경량 알루미늄 접이식 자전거 라바폴딩18인치,M,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,아파트/ 주상복합,대구,남구,봉덕동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
승용완구,ZOKO조코유아동 체인자전거9종(3세~7세사용)+컵홀더,F,3,,,      ,          ,,경기,수원시 팔달구,매산로3가,
자전거액세서리,(자전거용품.부품모음)자물쇠라이트펌프바구니짐받이안장가방헬멧보호대후미등페달보조바퀴벨전조등거치대,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,금천구,독산2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거,[스마트]삼천리/스마트/바이맥스 접이식자전거 미니벨로 4종,M,3,,,      ,          ,,경기,이천시,백사면,
전기자전거,전동킥보드마이봇 ERT-8/ 38V/ 18.4Ah / 삼성배터리/ 레져스포츠,M,3,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 있음 ,오피스텔,서울,강남구,도곡1동,
튜브벨브/어댑터/노즐,호비던롭밸브셋트 무시고무 공기 주입을 하여도 바람이 샐경우 교체,M,5,,,      ,          ,,경기,성남시 분당구,정자동,
보호대,[성인보호대 세트] 에어워크 보호대 손목_무릎_팔꿈치,M,5,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,양재동,기타 (승합차/트럭/화물차/기타 차량 등)
자전거튜브,[흥아]흥아 700C x 23/25C 프레스타 40mm 자전거튜브 로드,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)",700~799만원,아니오,          ,단독주택,서울,송파구,삼전동,
MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,M,4,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,인천,서구,마전동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
체인,"SramX1 체인, PC-X1, 11단/11단용 자전거 체인",M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거,자이덴라스카FX20 20인치 7단 접이식 자전거,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,상현동,"대형차 (제너시스, BMW5급 등)"
자전거타이어,자전거휠라이트 반사 스트로우 바퀴 야간 안전 야광,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,경기,광주시,오포읍,
자전거액세서리,정품미국 CREE사 LED Q5 줌 라이트/자전거/전조등/후레쉬/랜턴/손전등/거치대/건전지/안전등/용품/야간등,M,3,,,      ,          ,,서울,송파구,마천동,
헬멧/보호장비,GIFT삼천리 헬멧 SH330S 선바이저 자전거용품 인라인,F,5,,,      ,          ,,서울,은평구,불광2동,
물통받침대,대만아이베라 경량 물통케이지 물병 더블 안장마운트,M,3,,,      ,          ,,대구,수성구,범물동,
보호대,[AQUA-X/국산]발렌티노무봉제 쿨토시/아쿠아엑스,M,2,,,      ,          ,,부산,금정구,장전1동,
자전거페달,자전거보조발판(소/중)자전거발받침/발판 알루미늄,F,5,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,아파트/ 주상복합,광주,광산구,대산동,"스포츠 (제네시스 쿠페, BMW M, 벤츠 AMG 등)"
자전거튜브,[흥아]흥아 700C x 23/25C 프레스타 60mm 자전거튜브 로드,M,2,,,      ,          ,,대구,달성군,논공읍,
MTB,"[삼천리]미키마우스 미키키즈14,16,18형 아동 자전거",M,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,아니오,          ,아파트/ 주상복합,서울,중랑구,신내동,
핸들그립,Giant그립/Connect 커넥트 에르고 맥스 락온 (2색상),M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,경북,구미시,사곡동,
헬멧,HJC홍진 R4 컬러선택가능블랙라인/홍진 크라운 헬멧,F,2,무직,100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,부산,연제구,연산6동,
안장,대만New 카본 시트포스트 (27.2/31.6mm) 풀카본 자전거 안장봉/초경량 싯포스트 (세미카),F,3,,,      ,          ,,경기,화성시,반송동,
자전거액세서리,자전거비밀번호 자물쇠 (소)  No75,F,3,,,      ,          ,,경기,안양시 동안구,부림동,
헬멧,어반헬멧/GIRO 쿼터 다임 딤/BELL 세그먼트/자전거,F,5,,,      ,          ,,서울,동작구,상도2동,
흙받이,자전거흙받이(한세트)삼천리자전거 레스포정품/흙튀김방지 물받이/선택,M,5,,,      ,          ,,경기,화성시,안녕동,
자전거튜브,[CST]700x25/32C fv48mm 자전거튜브 프레스타 흥아 켄다,M,3,"관리직 (사장, 간부, 고위공무원)",300~399만원,아니오,          ,아파트/ 주상복합,광주,광산구,도산동,
헬멧,[HJC]X5(EVO)블랙스카이 / 자전거 헬멧 / 240g대 초,F,2,"교직 (교사, 유치원교사, 학원강사)",700~799만원,아니오,          ,아파트/ 주상복합,서울,노원구,상계5동,
외발/삼륜/2인용,절대터지지않는알로이 컨츄리 성인 세발자전거 삼륜,M,5,"관리직 (사장, 간부, 고위공무원)",500~599만원,예    ,자녀 있음 ,오피스텔,서울,서대문구,창천동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
자전거액세서리,[J]쿨시트 방석 오토바이 스쿠터 헬멧 용품,M,3,,,      ,          ,,서울,강동구,길동,
자전거의류/잡화,"휘너스/땀냄새,물빠짐없는선수용 기능성 스포츠 스판웨어 하의모음/속건+항균/언더레이어 챌린저5부",F,4,"주부 (전업주부, 파트타임 근무 주부)",100만원 미만,예    ,자녀 있음 ,아파트/ 주상복합,경북,의성군,의성읍,
튜브,자전거고급 타이어 튜브/던롭 프레스타 슈레더 튜브/슈발베 켄다 CST튜브/자전거용품 부품,F,2,,,      ,          ,,경기,성남시 분당구,야탑동,
자전거,자전거공구셋트/5가지기능 스페너13mm 15mm 육각렌지4mm5mm6mm 부품 용품,M,5,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,대구,중구,동산동,"경차 (모닝, 스파크 등)"
기타브랜드 헬멧,[삼천리자전거]미니마우스 헬멧보호대 세트 어린이 자전거 킥보드/ 삼천리자전거,M,3,무직,100~199만원,아니오,          ,단독주택,경기,화성시,우정읍,"소형SUV/CUV (티볼리, QM3 등)"
헬멧,아동용자전거헬멧아동보호대 킥보드 인라인헬멧,F,4,,,      ,          ,,서울,강서구,등촌동,
자전거의류/잡화,쿨바라클라바자외선차단마스크 여름마스크 쿨마스크,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,고양시 일산동구,마두동,
자전거,알톤쉐보레 CFB2.4 24단 팻바이크/노바투스/우라노,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전남,화순군,화순읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거액세서리,블랙울프자전거 라이트 용품 18650 배터리 충전기,M,4,"판매직 (상점점원, 보험설계사, 노점상)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,경산시,중방동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
흙받이,자전거흙받이/짐받이가방/강철크롬짐받이/받침대/보조안장/쇼바형짐받이/자전거용품,F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,마북동,"대형차 (제너시스, BMW5급 등)"
자전거,[삼천리]접이자전거비타민24 24형 7단 미니벨로 폴딩,M,5,,,      ,          ,,충남,아산시,배방읍,
자전거튜브,[흥아]흥아 700C x 23/25C 프레스타 60mm 자전거튜브 로드,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,오산시,청호동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
자전거,[스마트]삼천리/스마트 접이식자전거 미니벨로 4종,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,아파트/ 주상복합,서울,구로구,개봉3동,
알루미늄자전거,2017알톤 벨록스 CC 로드 사이클로크로스 자전거,M,2,"관리직 (사장, 간부, 고위공무원)",500~599만원,아니오,          ,오피스텔,서울,금천구,가산동,
자전거,지멘스여성용 부인용 자전거 클래식 24 26인치,M,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,아니오,          ,아파트/ 주상복합,강원,홍천군,홍천읍,기타 (승합차/트럭/화물차/기타 차량 등)
자전거장갑,아쿠아메이드자전거 반장갑 바이크 헬스 등산 장갑,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,부산,금정구,남산동,
보호대,[성인보호대 세트] 에어워크 보호대 손목_무릎_팔꿈치,M,2,,,      ,          ,,경기,부천시 원미구,역곡1동,
자전거액세서리,자전거라이트LED 전조등 후미등 후레쉬 [거치대증정],M,5,,,      ,          ,,경북,경산시,진량읍,
자전거,[알톤]갤럽22 21단 앞쇼바 7~11세 시마노인투스기어,F,3,,,      ,          ,,경기,남양주시,와부읍,
보호대,[성인보호대 세트] 에어워크 보호대 손목_무릎_팔꿈치,M,2,,,      ,          ,,대전,서구,변동,
헬멧/보호장비,자전거어반헬멧 어린이헬멧 인라인 헬맷 킥보드헬멧,M,2,,,      ,          ,,경기,고양시 덕양구,신원동,
MTB,앞뒤쇼바접이식 21단 26인치 입문 통학 출퇴근용 MTB,M,2,,,      ,          ,,대전,동구,가양2동,
브레이크레버,브레이크레버/아동용/성인용/알로이브레이크레버/자전거부품/자전거브레이크레버,M,5,"관리직 (사장, 간부, 고위공무원)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,과천시,원문동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
자전거의류/잡화,방한멀티스카프/멀티워머/넥워머/마스크/스키/자전거,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,효자동3가,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
자전거의류/잡화,"하이맥스매쉬 긴장갑 -  봄,여름,가을 장갑",M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 없음 ,오피스텔,경기,안산시 단원구,고잔동,
