카테고리,상품내용,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
자전거,지멘스여성용 부인용 자전거 클래식 24 26인치,F,4,,,      ,          ,,인천,남구,숭의4동,
MTB,GIFT2016 엘파마 판타시아 S7 S675 카본 MTB 자전거,F,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,경기,시흥시,은행동,
자전거,[스마트자전거]반티아고G21 하이브리드자전거 21단 클래식 2018년,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,오피스텔,서울,강남구,논현동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
승용완구,[삼천리자전거]GIFT 2018 삼천리 샘트라이크 800+ 유모차 세발자전거,M,4,,,      ,          ,,서울,강남구,대치동,
헬멧,어반헬멧/GIRO 쿼터 다임 딤/BELL 세그먼트/자전거,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,경기,용인시 수지구,성복동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
변속기,변속레버/자전거기어/시마노변속레버/그립쉬프트,M,3,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,은평구,불광동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
안장,유아안장/짐받이장착/핸들바장착/목받이유아안장/자전거안장,F,4,,,      ,          ,,서울,금천구,독산1동,
기타브랜드 헬멧,[삼천리자전거]미니마우스 헬멧보호대 세트 어린이 자전거 킥보드/ 삼천리자전거,M,2,,,      ,          ,,대전,서구,도안동,
자전거,베리벨로보스톤GS 22 18년형 22인치 MTB자전거,F,4,,,      ,          ,,경기,광명시,소하1동,
에어펌프(발펌프),발펌프/튜브/휴대용/쌍발/자전거/공기주입기/에어펌프/타이어공기/축구공/농구공/바람넣기/외발/강력발펌프,M,5,,,      ,          ,,전남,무안군,무안읍,
에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거펌프 공 오토바이 바이크 휴대용 쌍발펌프 튜브 스포,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경남,창원시 마산합포구,산호동,
자전거,[삼천리자전거][삼천리]여성용 클래식 자전거 라니아 22인치,M,5,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 만안구,안양4동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
헬멧,어반헬멧/GIRO 쿼터 다임 딤/BELL 세그먼트/자전거,F,4,,,      ,          ,,경기,성남시 중원구,은행1동,
자전거액세서리,"매그닉라이트/전조등,후미등싱글판매/충전필요없는 독일특허 비접촉 자전거라이트/자전거용품/무료배송",F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,양천구,신월4동,
체인,"SramX1 체인, PC-X1, 11단/11단용 자전거 체인",F,2,,,      ,          ,,서울,강남구,삼성동,
전시스탠드,[학성스포츠]아동용16/18/20인치 자전거스탠드/보조바퀴떼어내고 두발자전거전환시사용,M,3,,,      ,          ,,대전,유성구,전민동,
보호대,2+2이벤트/네파정품/탑쿨/슬레진저 쿨토시 팔토시,M,3,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,남구,대명9동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거,[스마트]삼천리/스마트 접이식자전거 미니벨로 4종,M,4,,,      ,          ,,울산,중구,반구1동,
후미등,자전거후미등2구 실리콘 후미등 LED비상등 안전등 야간 라이딩 유모차 오토바이 3가지 모드,M,4,,,      ,          ,,서울,구로구,온수동,
