재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산불,"청주대, 강원 산불 피해지역에 긴급 구호물품 지원 - 　 - 　　막이슈 - 쭉빵카페",F,3,무직,300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,사당2동,
산불,강원 고성에 대형... :: 네이버 뉴스,F,3,"주부 (전업주부, 파트타임 근무 주부)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,동구,인동,
산불,강원 산불 ‘국가... :: 네이버 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,경기,광명시,소하1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,"유통업계, 강원 ... :: 네이버 뉴스",F,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경남,창원시 진해구,경화동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",M,3,,,      ,          ,,경기,의정부시,가능2동,
산불,강원 고성에 대형... :: 네이버 뉴스,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,단독주택,서울,마포구,동교동,
산불,강원 산불 ‘국가... :: 네이버 뉴스,F,2,"생산/노무직 (생산감독, 경비원, 공장근로자)",900~999만원,아니오,          ,아파트/ 주상복합,서울,동작구,신대방2동,
산불,강원 고성에 대형... :: 네이버 뉴스,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,백석동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,강원 고성에 대형... :: 네이버 뉴스,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,백석동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,태풍급 강풍 양간지풍..고성 산불 순식간에 확산 | 다음 뉴스,F,4,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,방배본동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림재해,"파주시,해빙기산림재해우려지역안전점검실시!",M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강동구,성내3동,"경차 (모닝, 스파크 등)"
산불,"오가닉라이프신문 모바일 사이트, [오늘날씨] 전국 흐린 주말 중부 오후 비, 충청이남 초미세먼지 나쁨…건조특보 산불 조심",F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,영덕동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,제주,제주시,연동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,4,무직,100만원 미만,아니오,          ,단독주택,대구,남구,대명4동,"경차 (모닝, 스파크 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,서울,양천구,신월2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,,,      ,          ,,서울,관악구,신림동,
산불,속초시장이 무슨... :: 네이버 뉴스,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,단독주택,서울,광진구,중곡3동,
산불,속초시장이 무슨... :: 네이버 뉴스,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,단독주택,서울,광진구,중곡3동,
산불,속초시장이 무슨... :: 네이버 뉴스,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,경기,남양주시,도농동,
산불,[긴급구호펀딩] 국가 재난 사태 강원 산불 구호 펀딩 | 와디즈 리워드 - 크라우드펀딩,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,남구,주안5동,
산불,[긴급구호펀딩] 국가 재난 사태 강원 산불 구호 펀딩 | 와디즈 리워드 - 크라우드펀딩,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,남구,주안5동,
산불,[긴급구호펀딩] 국가 재난 사태 강원 산불 구호 펀딩 | 와디즈 리워드 - 크라우드펀딩,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,남구,주안5동,
산불,"[주말 오늘날씨] 전국 흐리고 중부 오후 비…충청이남 초미세먼지 나쁨, 건조특보 산불 조심 - Queen-여왕의 품격",F,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,아니오,          ,아파트/ 주상복합,서울,송파구,오륜동,
산불,속초시장이 무슨... :: 네이버 뉴스,F,4,"관리직 (사장, 간부, 고위공무원)",900~999만원,예    ,자녀 있음 ,단독주택,경기,용인시 처인구,고림동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,고양시 일산동구,중산동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,서울,강북구,번2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,광명시,소하1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"교직 (교사, 유치원교사, 학원강사)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,홍성군,홍북면,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림재해,"울릉군,산림재해일자리안전교육실시",M,5,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 없음 ,단독주택,울산,남구,신정5동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,단독주택,서울,마포구,동교동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 영통구,영통동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,부산,사하구,장림2동,
산불,속초시장이 무슨... :: 네이버 뉴스,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,화성시,향남읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,4,"교직 (교사, 유치원교사, 학원강사)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,양천구,목동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산불,"오가닉라이프신문 모바일 사이트, [오늘날씨] 전국 흐린 주말 중부 오후 비, 충청이남 초미세먼지 나쁨…건조특보 산불 조심",F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,양주시,덕정동,
산사태,태풍및집중호우시산사태대비국민행동요령,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,광진구,중곡동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동대문구,장안2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산불,[긴급구호펀딩] 국가 재난 사태 강원 산불 구호 펀딩 | 와디즈 리워드 - 크라우드펀딩,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,남구,주안5동,
산불,속초시장이 무슨... :: 네이버 뉴스,F,4,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,대구,달서구,대천동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,동래구,명장2동,
산불,속초시장이 무슨... :: 네이버 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,구로구,개봉동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,4,,,      ,          ,,전북,전주시 완산구,중노송동,
산불,속초시장이 무슨... :: 네이버 뉴스,F,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,충북,제천시,청전동,
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",F,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,충북,제천시,청전동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,M,3,"관리직 (사장, 간부, 고위공무원)",500~599만원,아니오,          ,단독주택,서울,광진구,자양동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,F,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,검암동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
