치유원,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
양평치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,국립양평치유의숲 - Daum 백과,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,[모집] 국립횡성숲체원 프로그램안내,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,공지사항 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,숙박시설 | 시설/이용안내 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,이용요금안내 | 예약 및 상담 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,찾아오시는 길 | 숲체원소개 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,숲체원 안내도 | 시설/이용안내 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,자주하는 질문 | 고객센터 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,횡성 치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲 국립횡성숲체원 : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
