체험,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
숲체험프로그램,인천야간숲체험프로그램,F,3,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,동작구,노량진1동,
숲체험교육확동,"안성아름다운어린이집,안성시내어린이집,안성어린이집,어린이집활동,만5세,숲체험,안성맞춤랜드",F,2,,,      ,          ,,,,,
숲체험교육확동,작은손마켓놀이숲체험유치원즐거워요,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 없음 ,아파트/ 주상복합,전북,익산시,부송동,
숲체험교육확동,[봉화]힐빙스테이4기/봉화가족체험프로그램/봉화춘양목숲힐빙프로그램/봉화가족캠프/춘양목숲체험교육/봉화힐빙스테이,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,수내3동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
숲체험프로그램,인천야간숲체험프로그램,F,3,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,광주,광산구,신촌동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
숲체험프로그램,예약안내및숲체험프로그램후기,F,4,,,      ,          ,,경기,수원시 영통구,이의동,
산림복합체험프로그램,산림복합체험센터와자생식물원,F,4,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,서구,경서동,
숲체험교육확동,"아산교육지원청,초등학생대상숲체험교육운영",F,4,기타 ,200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,강동구,길동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
숲체험프로그램,"청주시숲체험프로그램;4월부터10월까지행복한생태체험,토요가족숲나들이등",F,4,"교직 (교사, 유치원교사, 학원강사)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 팔달구,화서1동,"경차 (모닝, 스파크 등)"
산림체험프로그램,금산산림문화타운오감만족숲체험프로그램본격가동,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,아파트/ 주상복합,경남,창원시 마산회원구,내서읍,
숲체험교육확동,서울숲숲체험교육활동다녀왔어요_레고시티리포터챌린지,F,4,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경북,안동시,정하동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
숲체험교육확동,군산서초등학교숲체험운영,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,서울,강동구,강일동,
숲체험프로그램,도심속행복한부산시민공원숲체험프로그램으로출발,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,사상구,괘법동,
산림체험프로그램,맑은누리청소년방과후아카데미10월주말체험프로그램:산림문화체험-숲의가을을만들다.,F,3,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,중동,
숲체험프로그램,"서울준법지원센터,보호관찰청소년‘숲체험프로그램’실시",F,4,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,대치1동,"대형차 (제너시스, BMW5급 등)"
숲체험프로그램,초등딸1학기트레킹숲체험프로그램을마쳤어요,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,가락동,"준중형파생 (벨로스터, I30 등)"
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,3,기타 ,200~299만원,아니오,          ,단독주택,대구,동구,불로동,"경차 (모닝, 스파크 등)"
숲체험교육확동,2018년학술림숲체험교육,F,5,,,      ,          ,,경기,광명시,광명2동,
숲체험프로그램,"아이랑갈만한곳,양평쉬자파크유아숲체험프로그램",F,4,"판매직 (상점점원, 보험설계사, 노점상)",800~899만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,송파구,석촌동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
숲체험교육확동,[대구북구복현동산격동검단동코스트코근처어린이집유치원]<숲은늘~즐거워요??대구숲체험>교육으로행복한세상을만들어가는사회복지법인나래영재어린이집,F,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,거제시,옥포2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림체험프로그램,금산산림문화타운오감만족숲체험프로그램본격가동,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,신현동,
숲체험프로그램,대전주말숲체험프로그램-행복한숲체험♩,F,3,,,      ,          ,,서울,용산구,한남동,
숲체험프로그램,대전주말숲체험프로그램-행복한숲체험♩,F,4,,,      ,          ,,인천,동구,송림4동,
숲체험교육확동,2018년학술림숲체험교육,F,3,,,      ,          ,,서울,구로구,고척1동,
숲체험프로그램,2018찾아가는숲체험프로그램안내,F,3,,,      ,          ,,인천,부평구,부평1동,
숲체험교육확동,작은손마켓놀이숲체험유치원즐거워요,F,3,,,      ,          ,,경기,부천시 원미구,상동,
숲체험교육확동,"초등학교3학년환경교육,숲체험~경남환경교육원자연환경해설사활동/청아생태농장/경남체험학습/사천사남초등학교",F,4,기타 ,300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,성환읍,"경차 (모닝, 스파크 등)"
숲체험프로그램,"함허동천,숲체험프로그램",F,3,,,      ,          ,,서울,송파구,가락2동,
산림체험프로그램,<횡성가볼만한곳>국립횡성숲체원;횡성여행횡성힐링여행지/숲속산책로가예쁜장소/산림체험교육프로그램/가족여행커플여행추천,F,3,,,      ,          ,,경기,부천시 원미구,중4동,
숲체험프로그램,"숲체험프로그램,숲체험활동,숲체험놀이등숲에서할수있는휴양문화를소개합니다.",F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,문정1동,"대형차 (제너시스, BMW5급 등)"
숲체험교육확동,산림복지취약계충에게숲체험교육운영,M,3,,,      ,          ,,인천,중구,신흥동3가,
산림체험프로그램,<횡성가볼만한곳>국립횡성숲체원;횡성여행횡성힐링여행지/숲속산책로가예쁜장소/산림체험교육프로그램/가족여행커플여행추천,F,4,,,      ,          ,,대전,대덕구,비래동,
