재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림재해,"화순군,해빙기산림재해취약시설일제점검",M,2,,,      ,          ,,서울,노원구,상계3.4동,
산사태,<산사태대비하기>산사태이렇게대비하자!,M,2,,,      ,          ,,인천,중구,신흥동3가,
산림재해,충청북도산림재해걱정뚝!,M,4,기타 ,200~299만원,아니오,          ,오피스텔,부산,금정구,장전3동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,3,,,      ,          ,,경기,화성시,남양동,
산림재해,"순천국유림관리소,장마철대비산림재해예방사업적기완료",M,4,,,      ,          ,,부산,수영구,광안1동,
병해충,양파병해충예방과방제시기방법,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 중원구,중동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림재해,"충북도144억원투입,산림재해걱정뚝",M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"프리미엄 (에쿠스, BMW7급 등)"
병해충,체계적인관리로오디뽕나무병해충방제,M,5,,,      ,          ,,대전,대덕구,송촌동,
산림재해,무단농작물재배에따른산림재해우려,F,5,"주부 (전업주부, 파트타임 근무 주부)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,충북,청주시 흥덕구,복대동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
병해충,병해충강한식물토양미생물덕분,F,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,논현1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
병해충,6월대추병해충방제,M,4,,,      ,          ,,서울,종로구,연건동,
병해충,6월대추병해충방제,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,경북,경산시,사동,
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",F,3,,,      ,          ,,서울,강남구,대치2동,
산사태,태풍및집중호우시산사태대비국민행동요령,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,달성군,다사읍,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림재해,"파주시,해빙기산림재해우려지역안전점검실시!",M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,서울,광진구,구의3동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
병해충,유기농부병해충예방,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,상도동,
병해충,달성군산림병해충방제::재선충예방을위한예방나무주사를주는방제현장에다녀왔습니다!-달성군블로그기자단김명수,M,4,"판매직 (상점점원, 보험설계사, 노점상)",300~399만원,아니오,          ,단독주택,경기,구리시,아천동,
산사태,의령수도사산사태로매몰위험노출/뉴스렙기사,M,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,사당2동,
산림재해,산악기상관측망…산림재해예측정밀도높인다,F,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,성북구,돈암동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,아니오,          ,단독주택,부산,부산진구,범천2동,
병해충,마늘소금뿌려서가꾸는방법과병해충소독주아마늘심는방법,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충북,청주시 흥덕구,분평동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
병해충,참깨병해충방제와관리,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충북,청주시 흥덕구,분평동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림재해,"여주시,산림재해예방…산사태취약지역추가지정관리",F,2,기타 ,300~399만원,아니오,          ,아파트/ 주상복합,서울,강동구,천호1동,
병해충,양파병해충예방과방제시기방법,M,3,,,      ,          ,,서울,성북구,길음동,
병해충,달성군산림병해충방제::재선충예방을위한예방나무주사를주는방제현장에다녀왔습니다!-달성군블로그기자단김명수,M,5,,,      ,          ,,대구,북구,산격4동,
병해충,상추에발생하는병해충의모든것,M,3,,,      ,          ,,부산,부산진구,양정1동,
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",M,4,,,      ,          ,,서울,노원구,상계3.4동,
병해충,[공지]3.병해충관리는어떻게할까?,F,3,,,      ,          ,,부산,동래구,명륜1동,
병해충,체계적인관리로오디뽕나무병해충방제,F,3,,,      ,          ,,부산,동래구,명륜1동,
산림재해,"[산림청]진천산림항공관리소,산림재해꼼짝마무인감시카메라로예방",F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안산시 단원구,선부3동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
병해충,[공지]3.병해충관리는어떻게할까?,M,3,,,      ,          ,,서울,서대문구,연희동,
