행정구역별(시군구),연령별,내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
인천광역시,45~49세,243799,36761,177778,3063,26197,123607,26009,86013,908,10677,120192,10752,91765,2155,15520
인천광역시,50~54세,248733,22933,186547,5704,33549,122760,16760,90572,1206,14222,125973,6173,95975,4498,19327
인천광역시,55~59세,248403,13264,190169,11075,33895,124238,9637,96547,2183,15871,124165,3627,93622,8892,18024
인천광역시,60~64세,217086,7255,164388,17438,28005,108336,4808,86908,3167,13453,108750,2447,77480,14271,14552
인천광역시,65~69세,137888,3054,100139,19189,15506,67219,1743,54307,3034,8135,70669,1311,45832,16155,7371
인천광역시,70~74세,99792,1441,68618,22201,7532,47322,631,39415,3190,4086,52470,810,29203,19011,3446
인천광역시,75~79세,74106,862,43742,25992,3510,31931,278,26491,3282,1880,42175,584,17251,22710,1630
인천광역시,80~84세,50165,616,23227,24956,1366,18408,157,14461,3169,621,31757,459,8766,21787,745
인천광역시,85세이상,38119,666,10483,26534,436,9959,51,6820,2899,189,28160,615,3663,23635,247
광주광역시,합계,1253624,413879,687298,82895,69552,618199,236101,340304,11469,30325,635425,177778,346994,71426,39227
광주광역시,15~19세,80887,80848,39,-,-,41996,41989,7,-,-,38891,38859,32,-,-
광주광역시,20~24세,108360,106900,1311,12,137,55942,55513,375,6,48,52418,51387,936,6,89
광주광역시,25~29세,101494,89139,11702,35,618,53190,49321,3637,22,210,48304,39818,8065,13,408
광주광역시,30~34세,81265,46149,33702,101,1313,41949,27909,13481,58,501,39316,18240,20221,43,812
광주광역시,35~39세,102632,30840,67877,358,3557,52109,20109,30741,135,1124,50523,10731,37136,223,2433
광주광역시,40~44세,112603,22628,82469,720,6786,56016,15448,37966,209,2393,56587,7180,44503,511,4393
광주광역시,45~49세,126826,16847,96520,1494,11965,63237,12099,45961,276,4901,63589,4748,50559,1218,7064
광주광역시,50~54세,124416,9578,98415,3114,13309,62290,6986,49219,597,5488,62126,2592,49196,2517,7821
광주광역시,55~59세,110423,4951,87531,5456,12485,55115,3523,45035,994,5563,55308,1428,42496,4462,6922
광주광역시,60~64세,97836,3030,76336,8475,9995,47765,1918,39549,1386,4912,50071,1112,36787,7089,5083
광주광역시,65~69세,66157,1471,49204,10062,5420,31285,803,26160,1287,3035,34872,668,23044,8775,2385
광주광역시,70~74세,53206,531,37952,12362,2361,24435,222,21161,1773,1279,28771,309,16791,10589,1082
광주광역시,75~79세,40590,391,25155,13978,1066,17503,147,15127,1608,621,23087,244,10028,12370,445
광주광역시,80~84세,27090,269,13287,13142,392,10121,90,8255,1577,199,16969,179,5032,11565,193
광주광역시,85세이상,19839,307,5798,13586,148,5246,24,3630,1541,51,14593,283,2168,12045,97
대전광역시,합계,1282816,436368,690893,81125,74430,639996,249596,345047,12745,32608,642820,186772,345846,68380,41822
대전광역시,15~19세,82649,82623,24,1,1,43201,43195,6,-,-,39448,39428,18,1,1
대전광역시,20~24세,118916,117323,1482,1,110,61742,61395,316,1,30,57174,55928,1166,-,80
대전광역시,25~29세,109481,94831,14036,52,562,59724,54722,4777,43,182,49757,40109,9259,9,380
대전광역시,30~34세,89214,50628,36920,115,1551,47935,31973,15389,64,509,41279,18655,21531,51,1042
대전광역시,35~39세,101066,30044,67200,326,3496,51661,18642,31573,114,1332,49405,11402,35627,212,2164
대전광역시,40~44세,108048,21828,79395,648,6177,53719,14038,36929,208,2544,54329,7790,42466,440,3633
대전광역시,45~49세,123677,16849,94118,1494,11216,61703,11385,45305,350,4663,61974,5464,48813,1144,6553
대전광역시,50~54세,123339,10031,96262,2906,14140,61482,6867,48003,646,5966,61857,3164,48259,2260,8174
대전광역시,55~59세,114107,5403,89565,5221,13918,56731,3737,45651,1123,6220,57376,1666,43914,4098,7698
대전광역시,60~64세,103939,3316,79953,8861,11809,50871,2155,41668,1515,5533,53068,1161,38285,7346,6276
대전광역시,65~69세,71000,1538,53161,10008,6293,34293,799,28857,1549,3088,36707,739,24304,8459,3205
대전광역시,70~74세,51076,722,35670,11546,3138,24034,381,20473,1638,1542,27042,341,15197,9908,1596
대전광역시,75~79세,39406,535,24268,13226,1377,17094,205,14263,1911,715,22312,330,10005,11315,662
대전광역시,80~84세,26851,295,13107,13005,444,10171,57,8120,1764,230,16680,238,4987,11241,214
대전광역시,85세이상,20047,402,5732,13715,198,5635,45,3717,1819,54,14412,357,2015,11896,144
울산광역시,합계,955292,272976,575959,54511,51846,491042,167934,290681,8052,24375,464250,105042,285278,46459,27471
울산광역시,15~19세,53698,53679,19,-,-,29018,29010,8,-,-,24680,24669,11,-,-
울산광역시,20~24세,65714,64876,777,8,53,37891,37718,155,1,17,27823,27158,622,7,36
울산광역시,25~29세,71870,61036,10393,45,396,40592,37210,3215,15,152,31278,23826,7178,30,244
울산광역시,30~34세,66456,33164,32254,93,945,36280,22219,13662,44,355,30176,10945,18592,49,590
울산광역시,35~39세,83173,20906,59549,197,2521,43341,14278,27944,97,1022,39832,6628,31605,100,1499
울산광역시,40~44세,87657,14968,67632,395,4662,45455,10495,32759,153,2048,42202,4473,34873,242,2614
울산광역시,45~49세,95717,11006,75665,978,8068,47592,7882,35896,264,3550,48125,3124,39769,714,4518
울산광역시,50~54세,104946,6385,86370,2247,9944,52214,4709,42152,582,4771,52732,1676,44218,1665,5173
울산광역시,55~59세,100781,3013,84316,4028,9424,52055,2134,44700,784,4437,48726,879,39616,3244,4987
울산광역시,60~64세,85533,2072,69009,6230,8222,43219,1411,36788,1040,3980,42314,661,32221,5190,4242
울산광역시,65~69세,55525,1005,42482,7630,4408,27756,547,23701,1207,2301,27769,458,18781,6423,2107
울산광역시,70~74세,35148,370,24450,8411,1917,17433,185,15077,1138,1033,17715,185,9373,7273,884
울산광역시,75~79세,23725,201,13960,8651,913,10428,74,8636,1198,520,13297,127,5324,7453,393
울산광역시,80~84세,15016,126,6472,8160,258,5336,46,4281,892,117,9680,80,2191,7268,141
울산광역시,85세이상,10333,169,2611,7438,115,2432,16,1707,637,72,7901,153,904,6801,43
세종특별자치시,합계,277042,79282,174760,11943,11057,138054,44036,87755,1697,4566,138988,35246,87005,10246,6491
세종특별자치시,15~19세,18846,18846,-,-,-,9392,9392,-,-,-,9454,9454,-,-,-
세종특별자치시,20~24세,20512,20300,198,1,13,10843,10792,46,1,4,9669,9508,152,-,9
세종특별자치시,25~29세,19927,15603,4187,24,113,10202,8929,1221,15,37,9725,6674,2966,9,76
세종특별자치시,30~34세,24887,9388,15126,24,349,12173,5766,6297,15,95,12714,3622,8829,9,254
